STATE,DISTRICT,Storage name,Address,Manager Name,capacity
Andhra Pradesh,East Godavari,AVK.Raju,Gollaprolu Village/Gollaprolu Mandal,,4769.62
Andhra Pradesh,East Godavari,B. V. S. Sekhar,"Ippanapadu, Mandapeta Mandal",,2324
Andhra Pradesh,East Godavari,B.K.Agarwal,"Chollangi Village , Kakinada",,4769.62
Andhra Pradesh,East Godavari,Chalasani Syamala Devi,"R S No.207, ABD Road, Rajanagaram, East Godavari District",,4220
Andhra Pradesh,East Godavari,Chinta China Pandu Ranga Reddy,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572
Andhra Pradesh,East Godavari,Chinta Mangayamma,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572
Andhra Pradesh,East Godavari,Chirla Bhupathy Reddy,"RS.No. 49/2, NH-214, Chollangi Panchayat, Tallarevu Mandal",,5296
Andhra Pradesh,East Godavari,Chunduru Ananta Laxmi,"S.No.90/2, Vedurumudi Village, Kapileswara Mandal, East Godavari",,2379.24
Andhra Pradesh,East Godavari,DMR Rural Farmers Warehouse ( D. Madhusudan Rao & D. Kusuma Kanaklatha ),"Survey No. 148, Rythu Nagaram Village, Nandyal Mandal",,6500
Andhra Pradesh,East Godavari,E Varalakshmi,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62
Andhra Pradesh,East Godavari,GSS Tulasi,"Rajavolu ,Rajahmundry",,4769.62
Andhra Pradesh,East Godavari,Gayatri Storage,"Tossipudi, Biccavolu, Biccavolu Mandal",,7013
Andhra Pradesh,East Godavari,Gunnam Soma Sirkar,"Ippanapadu, Mandapeta Mandal",,7148
Andhra Pradesh,East Godavari,J.Mani,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,J.Naveen Kumar,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,J.Ramaswamy,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,J.Subba Rao,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,JNVVS Marthanda Rao,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,K Subbaraju,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62
Andhra Pradesh,East Godavari,K. Partha Saradhi,Rajanagaram Village And Mandal,,6244
Andhra Pradesh,East Godavari,KAKINADA,,J. Chandra Sekhar,42443
Andhra Pradesh,East Godavari,Kantamani Kasi Viswesvara Rao,"S.No.224/1, ABD Road, Rajanagaram Village",,8092
Andhra Pradesh,East Godavari,Kotapalli Madhavi,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572
Andhra Pradesh,East Godavari,Kovuru Satyanarayana Reddy,"D. No. 1-3. Pandalapaka Village, Biccavolu Mandal",,2082
Andhra Pradesh,East Godavari,Kovvuri Gavara Reddy,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572
Andhra Pradesh,East Godavari,Kovvuri Vijayalakshmi,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572
Andhra Pradesh,East Godavari,Kumari Sri Raja,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,Lalitha Enterprises,"Survey No.227/1&2 , Pandalapaka GP, Biccavole Mandal",,3503
Andhra Pradesh,East Godavari,M. Ramachandra Reddy,"Chintapally, Pedapudi Mandal",,1200
Andhra Pradesh,East Godavari,M/S Anaparthy Sai Sridevi & 17 Partners,Mandapeta/East Godavari,,10000
Andhra Pradesh,East Godavari,M/S Karri Rajeswari Rural Godown,"RS. No. 92/S & 5, Ramavaram Village, Anaparthi Mandal, East Godavari",,9707.66
Andhra Pradesh,East Godavari,M/S Saibhya Agro Storages,Dharmavaram,,3000
Andhra Pradesh,East Godavari,M/S Saibhya Cold Storage Pvt. Ltd,Dharmavaram,,2500
Andhra Pradesh,East Godavari,M/S Smt.Karri Prabalaxmi Rural Godown,"Sy.No.202/2,203/5, Pandalapaka Village, Biccavole Mandal, East Godavari Dt",,3812
Andhra Pradesh,East Godavari,M/S Sri Satyasri Godowns,Duppalapudi/East Godavari,,3138.62
Andhra Pradesh,East Godavari,M/S Sri Venkateswar Godowns ( D. Krishna Reddy ),"Dugguduru Village, Kajurulu Mandal",,569
Andhra Pradesh,East Godavari,M/S Srinivasa Paddy Storages,"Survey No.106/1, Ramavaram Village, Mandal Anaparthi District, East Godavari",,1837
Andhra Pradesh,East Godavari,M/S Srinivasa Rice Traders,"Ramavaram(V), Jaggampeta(M), East Godavari",,4551
Andhra Pradesh,East Godavari,Maddireddy Lakshmana Swamy,"Narsipudi, Alamuru Mandal, East Godavari",,104.61
Andhra Pradesh,East Godavari,Merla Agasthiah,"Velangi Village, Karapa Mandal",,184.64
Andhra Pradesh,East Godavari,Murali Krishna Storage,"S.No.78/4, Pedapalla Village, Alamuru Mandal",,3710.47
Andhra Pradesh,East Godavari,N V V Krishna Rao,"Rajavolu ,Rajahmundry",,4769.62
Andhra Pradesh,East Godavari,NRRC Surya Kumari,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,Naga Raju,"Duppalapudi Village, Anaparthi Mandal",,4769.62
Andhra Pradesh,East Godavari,Nageswar Rao,"Duppalapudi Village, Anaparthi Mandal",,4769.62
Andhra Pradesh,East Godavari,Nallamili Satyanarayana Reddy,Nadakuduru Village,,3395
Andhra Pradesh,East Godavari,P Sarveshwara Rao,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62
Andhra Pradesh,East Godavari,P Satyanarayana & P S Kumar,"Rajavolu, Rajahmundry",,4769.62
Andhra Pradesh,East Godavari,P. Satyanarayana Reddy,"RS.No. 51/1/2, 51/1/3, NH-214, Chollangi Panchayat, Tallarevu Mandal",,7030
Andhra Pradesh,East Godavari,P.Janaki Ram,"Rajavolu ,Rajahmundry",,4769.62
Andhra Pradesh,East Godavari,P.Satyanarayana,"Rajavolu ,Rajahmundry",,4769.62
Andhra Pradesh,East Godavari,P.V.G.Gandhi Mohan,"Chollangi Village , Kakinada",,4769.62
Andhra Pradesh,East Godavari,PSVVB Prasad & P. Satyanarayana,"S.No.253/6,7,8,9,10,11, Village & Mandal : Kapileshwarapuram,",,6502
Andhra Pradesh,East Godavari,R.Satyanandam,"Chollangi Village , Kakinada",,4769.62
Andhra Pradesh,East Godavari,RAJAHMUNDRY,,M.A.AIi Khan,44000
Andhra Pradesh,East Godavari,S. Satyanarayana Raju,"Mattaparu, Palkol Mandal",,2718
Andhra Pradesh,East Godavari,S.K.Sharma,"Chollangi Village , Kakinada",,4769.62
Andhra Pradesh,East Godavari,S.Shakuntala Sharma,"Chollangi Village , Kakinada",,4769.62
Andhra Pradesh,East Godavari,SS Varma,Gollaprolu Village/Gollaprolu Mandal,,4769.62
Andhra Pradesh,East Godavari,Sathi Aparanji,"S. No.57/6,7,8,10B,11& 140/11B,12B,13,14 Z.Medapadu & Kesavaram Villages, Mandapeta Mandal, East Godavari",,11186
Andhra Pradesh,East Godavari,Sathi Ramachandra Reddy,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572
Andhra Pradesh,East Godavari,"Satti Adilakshmi, W/O Satti Ramakrishna Reddy","RS.No. 49/2, NH-214, Chollangi Panchayat, Tallarevu Mandal",,5296
Andhra Pradesh,East Godavari,Satty Krishna Reddy,"4/268, Main Road, Penuguduru, Karapa Mandal",,5138
Andhra Pradesh,East Godavari,Shri M. Krishna Murthy,"Kurmapuram, Rayavaram Mandal",,232
Andhra Pradesh,East Godavari,Shri Mattey Satya Prasad,"Surampalem, Gandepalli Mandal, Rajahmundry Road, Peddapuram, East Godavari District",,6160
Andhra Pradesh,East Godavari,Shri Mattey Srinivas,"Surampalem, Gandepalli Mandal, Rajahmundry Road, Peddapuram, East Godavari District",,6042
Andhra Pradesh,East Godavari,Shri Tetala Naveen,"Beside Door No. 4-135a, Tossipudi, Bkkavolu Mandal",,7500
Andhra Pradesh,East Godavari,Shri Venkateswara Godowns,"R S No. 73/1, Korumilli Village, Kapileswarapuram Mandal, East Godavari",,421.47
Andhra Pradesh,East Godavari,Shri. PeddyReddy Satish,"Survey No. 305, New RS No. 13/2,Kovvuru Road, Kakinada Rural, Dist-East Godavari",,3410
Andhra Pradesh,East Godavari,Shri. Putchakayala Tata Raju,"Block No.6, Near Maramma Temple, Venturu Village, Rayavaram Mandal, East Godavari - 533261",,425
Andhra Pradesh,East Godavari,Sir Aurthur Cotton Food Storage,"Biccavolu, Biccavolu Mandal",,4323
Andhra Pradesh,East Godavari,Smt D.Kusumalatha,"Rs 150/3, 150/4, KNF Road, Nadakuduru, Karapa Mandal",,3358
Andhra Pradesh,East Godavari,Smt Kovvuri Kusuma,"Rs 150/3, 150/4, KNF Road, Nadakuduru, Karapa Mandal",,4345
Andhra Pradesh,East Godavari,Smt Sathi Manikyam,"S. No.57/1,2,3,6,140/1B,2B, 4B,5B,6B, 7B,140/3,143/8Z.Medapadu & Kesavaram Villages, Mandapeta Mandal, East Godavari",,10843
Andhra Pradesh,East Godavari,Smt Sathi Satyaveni,"S. No.57/3,6,7, 140/7B,8B, 9B,11B,12B, Z.Medapadu & Kesavaram Villages, Mandapeta Mandal, East Godavari",,11336
Andhra Pradesh,East Godavari,Smt. Akkina Lalitha Chengalva,"S.No.93/1A, Village: Hukumpeta",,9961
Andhra Pradesh,East Godavari,Smt. Cherukuri Srilaxmi,"S.No.93/1A,93/2, 93/3 Village: Hukumpeta",,16304
Andhra Pradesh,East Godavari,"Smt. Karedla Santha Kumri, Machara Village, East Godavari District","M/S Karedla Santha Kumari Rural Godowns R S No.475/2, Machara Village, Machara Village, Kapileswarapuram Mandal, East Godavari District",,1751.22
Andhra Pradesh,East Godavari,"Smt. Nallamili Manga Devi, W/O N.P. Satyanarayana Reddy","RS No. 907/4, Door No. 1-5, Pedapudi , Pedapudi Mandal, East Godavari District",,333
Andhra Pradesh,East Godavari,Smt. Sathi Bhskara Santha,"Survey No. 28/1, 29/2, Village: Polamuru, Mandal: Anaparthi, Dist: East Godavari",,2387
Andhra Pradesh,East Godavari,Smt. Satti Vijaya Kanakadurga Mahalakshmi,"Survey No.66/2 & 60/1, Chollangi(V), Tallarevu(M), East Godavari",,4883
Andhra Pradesh,East Godavari,Smt.Cherukuri Subbalaxmi,"S.No.93/2,93/3 Village: Hukumpeta",,10991
Andhra Pradesh,East Godavari,Smt.Reddy Adilaxmi,"S.No.538/6, Yeditha Village, Alamuru Mandal, East Godavari District",,1756
Andhra Pradesh,East Godavari,"Sri Bhaskara Laxmi Storages,","Pedapalla, Alamuru Mandal",,2419
Andhra Pradesh,East Godavari,Sri D.Vipul Avinash Reddy,"Rs 150/3, 150/4, KNF Road, Nadakuduru, Karapa Mandal",,2487
Andhra Pradesh,East Godavari,Sri Godavarthy Venkata Ramana Murthy S/O Satyanarayana Murthy,"M/S Sri Godavarthy Venkata Ramana Murthy Godowns, R S No.150/8,9,10, Penikeru, Alamuru Mandalam, East Godavari District",,251
Andhra Pradesh,East Godavari,Sri P.Ramakrishna Chowdary,"S.No.124/2, Maredubaka Village, Mandapeta Mandal",,4488
Andhra Pradesh,East Godavari,Sri Veera Venkata Satyanarayana Storage Complex,"S.No.29/2, Polamuru Village, Anaparthy Mandal",,7001
Andhra Pradesh,East Godavari,Sri Veeravenkata Satyanarayana Storage Complex,"R.S. Peta, Biccavolu, Biccavolu Mandal",,9026
Andhra Pradesh,East Godavari,Sri Venkateswara Agros (Managing Partner: Tetala China Krishna Reddy),"Komaripalem, Biccavolu Mandal,",,3288
Andhra Pradesh,East Godavari,T V.Swamy,"Rajavolu, Rajahmundry",,4769.62
Andhra Pradesh,East Godavari,T.Sunitha,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,TS Anantha Lakshmi,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,Thota Sudha,"Jaggammagari Peta,Samalkot",,4769.62
Andhra Pradesh,East Godavari,V J V Shyamalamba,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62
Andhra Pradesh,East Godavari,V Murali Krishna,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62
Andhra Pradesh,East Godavari,V N Jayarekha,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62
Andhra Pradesh,East Godavari,V N V Varalakshmi,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62
Andhra Pradesh,East Godavari,V. Drowpati,"Narsipudi Village, Alamuru Mandal",,143.86
Andhra Pradesh,East Godavari,V. N. Lalithananda,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62
Andhra Pradesh,East Godavari,V.K.Agarwal,"Chollangi Village , Kakinada",,4769.62
Andhra Pradesh,East Godavari,Valluri Satyanarayana,"Yanamdala Village, Ramachandrapuram Mandal",,1800
Andhra Pradesh,Guntur,A. Rahman Khan,"Kantheru Village, Tadikonda Mandal",,12877
Andhra Pradesh,Guntur,A.Subrahmanyam Raju,"Karlapalem Vilage, Bapatla",,4769.62
Andhra Pradesh,Guntur,Achyutharama Rural Godown ( D. Achyutaramaiah ),"Narasayapalem Village, Baptala Mandal",,126
Andhra Pradesh,Guntur,Alapati Lakshmi Suseela And Alapati Poornachandra Rao,"Nagrjupalem Sivaru, Tumuluri Village , Kollipara Mandal, Guntur District",,190.957
Andhra Pradesh,Guntur,"Alla Veema Reddy, S/O Kutumba Reddy & Alla Uma Maheswar Reddy, S/O Veema Reddy","Door No. 7/99, Kollipara GP, Kollipara Road, 7th Ward , Kollipara Mandal, Guntur",,200
Andhra Pradesh,Guntur,Aluri Rajendra Prasad,"Kavulu, Cherukupalli Mandal",,150
Andhra Pradesh,Guntur,Amaralingeswara Cold Storage Pvt Ltd,MACHARLAROAD NADIKUDI VILAGE DACHEPALLY MANDAL,Vankayala1 Satyanarayana,6000
Andhra Pradesh,Guntur,Amaravathi Cold Storage,"578/3, LAAPURAM, NEAR MIRCH YARD ANKI REDDY PALEM",Srinivadarao,6636
Andhra Pradesh,Guntur,Amcyard,AMC YARD,Venkatharathnam,
Andhra Pradesh,Guntur,Amulya Cold Storage m,DNO9-82 NH-5 LALPURAM BY PASS ROAD,Venkateswrao,4099
Andhra Pradesh,Guntur,"Andhra Pradesh State Ware Housing Corporation, Hyderabad","Survey No.322/1, 2, Tadepally, Guntur District",,1443.84
Andhra Pradesh,Guntur,Ankamma Rural Godown ( Prathipati Ankamma Chowdary ),"Narasayapalem Village, Baptala Mandal",,123
Andhra Pradesh,Guntur,Ashok Rural Godown ( Devarapalli Ashok Babu ),"Narasayapalem Village, Baptala Mandal",,126
Andhra Pradesh,Guntur,"Avuthu Ramachandra Reddy, S/O Venkata Subba Reddy","Nagarjunapalem, Sivaru, Tumulru Village, And Kollipara Mandal, Guntur District",,111
Andhra Pradesh,Guntur,Avuthu Swarajyalakshmi,"S.No.443/B-5, Door No.7-140/B, Thumuluru Village, Kollipara Mandal, Guntur",,108.74
Andhra Pradesh,Guntur,"Avuthu Vijaya Lakshmi ,W/O Srinivasa Reddy & Avuthu Srinivasa Reddy S/O Satish Reddy","R&B Road From Kollipara To Gudibandivaripalem Road, 2nd Ward, Kollipara Village And Mandal",,600
Andhra Pradesh,Guntur,B Savita,Nadikudi,,4769.62
Andhra Pradesh,Guntur,B Sita Devi,Nadikudi,,4769.62
Andhra Pradesh,Guntur,B Srinivas Raju,Nadikudi,,4769.62
Andhra Pradesh,Guntur,B. Cidambaram Babu,"Kondrupadu Village, Parthipadu Mandal",,9539
Andhra Pradesh,Guntur,B. Koti Reddy,"Penumuli, Dugirala Mandal",,419
Andhra Pradesh,Guntur,B. Koti Reddy,"Nambur, Pitakakami Mandal",,387
Andhra Pradesh,Guntur,"Bandarupalli Lakshmi Parvathi, W/O Sambasiva Rao","Door No.102/10, Doppalapudi Village & Post, Ponnur Mandal, Guntur",,338.18
Andhra Pradesh,Guntur,Bapatla,Bapatla Market Yard,,1000
Andhra Pradesh,Guntur,Bhagwaty Cold Storages,"169/AG T ROAD, ANKIREDDYPALEM",G Radhica,
Andhra Pradesh,Guntur,Bhubaneswari Agri Processing And Marketting,Thatapudi,,7481
Andhra Pradesh,Guntur,Boina Venkateswarlu,"Jammulapalem Village, Baptla Mandal",,250
Andhra Pradesh,Guntur,Bommidala Cold Storage,NH-5,Ramnamurthy,
Andhra Pradesh,Guntur,Bonthu Chandrasekhara Reddy,Kollipara Village & Mandal,,172
