,Location Name,Longitude,Latitude
310,Gunur Dt,80.4365402,16.3066525
311,Guntur,80.4365402,16.3066525
312,Ankireddypalem,80.3923079,16.2876751
313,Ankireddypalem,80.3923079,16.2876751
314,Ankireddypalli,79.0072883,15.3960875
315,Guntur District,80.0087746,16.3905692
316,Lalpuram,80.4494344,16.2868497
317,Ankireddypalem,80.3923079,16.2876751
318,Ankireddy Palem,80.3923079,16.2876751
319,Amarthalur Mandal,80.6590424,16.1169266
320,Guntur Dt,80.4365402,16.3066525
321,Ankireddy Palem,80.3923079,16.2876751
322,Chilakaluripet,80.1656205,16.0948008
323,Ankireddypalem,80.3923079,16.2876751
324,Jammalamadugu Mandal,78.3824215,14.8448555
325,Ankireddy Palem,80.3923079,16.2876751
326,Navabpet,78.0304434,16.8979223
327,Ankireddy Palem,80.3923079,16.2876751
328,Ankireddypalem,80.3923079,16.2876751
329,Ankireddypalli,79.0072883,15.3960875
330,Kesanapally,,
331,,,
332,Duggirala,80.6271912,16.3273225
333,Ankireddypalem,80.3923079,16.2876751
334,Guntur,80.4365402,16.3066525
335,Nandigama,80.2859096,16.7724159
336,Ankireddypalem,80.3923079,16.2876751
337,Ankireddypalem,80.3923079,16.2876751
338,Medikonduru (M),80.2989584,16.3466357
339,Guntur,80.4365402,16.3066525
340,nan,,
341,D No 466 3 Nadikudi V Dachepalli M Guntur District,79.7068596,16.5879495
342,Thikkireddypalem V Parthipadu M Guntur District,80.3358008,16.1813812
343,NH 05 ANKIREDDIPALEM VILLAGE,80.3923079,16.2876751
344,DURGI ROAD MACHARLA VILAGE MANDAL,79.4365006,16.4760816
345,Amarthaluru Mandal,,
346,Amarthaluru Mandal,,
347,Mangalagiri Market Yard,80.5662454,16.4345712
348,Kubadpuram,79.9626354,16.4683884
349,KUBHADHPURAMVILAGERAJUPALEMMANDAL,,
350,Kollipara Mandal,77.3410569,16.850763
351,NH5 ANKIREDDY PALEM,83.9275643,18.3159269
352,ANKIREDDY PALEM NH-5,83.9275643,18.3159269
353,Baptala Mandal,80.4681844,15.9040102
354,NH 5 MARCHI YARD,77.1031998,31.0306204
355,nan,,
356,nan,,
357,Rentachintala Village Guntur Dist,79.5524538,16.5544667
358,Sy No 66 B Etukur Village Old Guntur Guntur Distt,80.4467589,16.2896415
359,ETUKURU ROAD,80.4405326,16.2800938
360,Kakumanu Mandal,80.4284795,16.0187769
361,Nadikudi,79.7068596,16.5879495
362,Sattenapalli Mandal,80.1492601,16.3960329
363,Munipalle/Guntur,80.5407645,16.1270527
364,Narasaraopet Mandal,80.054037,16.2359574
365,ANKIREDDIPALEM VILLAGE,80.3923079,16.2876751
366,ANKIREDDYPALEM VILLAGE,80.3923079,16.2876751
367,Guntur District,80.0087746,16.3905692
368,Narasaraopet Market Yard,80.051782,16.227243
369,ACSRAO6[At]EMAIL[Dot]COM,,
370,NALLAPADU ROAD NEAR NH-5,80.3939109,16.3063385
371,Nadikudi,79.7068596,16.5879495
372,Nadikudi,79.7068596,16.5879495
373,Kollur Village And Mandal,78.2508532,17.4435941
374,Bapatla,80.4671375,15.9039445
375,Mandal: Bhattiprolu,80.7845272,16.1038105
376,nan,,
377,RENTACHINTALA VILAGE NEAR MARKET YARD MACHARLA ROA,79.5524538,16.5544667
378,ANKIREDDY PALEM,80.3923079,16.2876751
379,ANKIR EDDY PALEM,80.3923079,16.2876751
380,ANKIREDDY PALEM NH-5,83.9275643,18.3159269
381,Guntur,80.4365402,16.3066525
382,Andhra Pradesh,79.7399875,15.9128998
383,Baptala Mandal,80.4681844,15.9040102
384,Ponnur And Pedanandipadu,80.3300968,16.0706311
385,LALPURAMANKI REDDY PALEMBY PASS ROAD,,
386,Guntur District,80.0087746,16.3905692
387,NH 5 MARCHI YARD,77.1031998,31.0306204
388,Baptala Mandal,80.4681844,15.9040102
389,KROSUR RO,80.1386212,16.5414403
390,8-282 TENALI VDALAMUDI,80.5605111,16.2355855
391,Baptala Mandal,80.4681844,15.9040102
392,KANUPARRU,80.110827,16.209323
393,Kanaparru,80.110827,16.209323
394,Baptla Mandal,80.4681844,15.9040102
395,Nadikudi,79.7068596,16.5879495
396,Dugirala Mandal,77.070837,16.6775836
397,Bapatla,80.4671375,15.9039445
398,ANKIREDDY PALEM NH-5 NALLAPADU ROAD,80.3918895,16.3002007
399,LALAPURAM,80.3282738,17.2181353
400,Ankireddypalem,80.3923079,16.2876751
401,SANTHI NAGAR,77.5992505,12.9577549
402,NH 5 MARCHI YARD,77.1031998,31.0306204
403,VIJAYA TOWERS,80.2491427,13.0538525
404,RAJAHMUNDRY,81.8040345,17.0005383
405,LALPURAM,80.4494344,16.2868497
406,Bhattiprolu And Ponnapally,80.7845272,16.1038105
407,Tadikonda Mandal,76.840383,16.7553661
408,Bapatla,80.4671375,15.9039445
409,Bapatla,80.4671375,15.9039445
410,NH5 ANKI REDDY PALEM,80.2091128,15.9060837
411,nan,,
412,RAILWAY TRAK ROAD,78.1128911,18.6797553
413,NH-5 BY PASS ROAD,77.1031998,31.0306204
414,LALAPURM,80.3282738,17.2181353
415,ROKE143[At]GMAIL[Dot]COM,,
416,NH-5,77.1031998,31.0306204
417,NALLAPADU ROAD,80.3939109,16.3063385
418,CHILAKALURIPET ROAD NEAR MARCHIYARD,80.0702897,16.2227265
419,ANKIREDDY PALEM NH-5,83.9275643,18.3159269
420,ANKI REDDY PALEM BY-PASS ROAD CHEK POST,80.2091128,15.9060837
421,VADLAMUDI VILAGE CHEBROLU MANDAL,80.5605111,16.2355855
422,Tenali Mandal,80.6495483,16.2381344
423,DNO9-63 ANKI REDDY PALEM BY PASS ROAD,80.2091128,15.9060837
424,NARASARAOPETA,80.0496499,16.2359181
425,ANKIREDDY PALEM NH-5,83.9275643,18.3159269
426,MIRCHI YARD,,
427,NH5 DNO 6-75 ANKI REDDY PALEM,80.3923079,16.2876751
428,GANGAVARAM VILAGE NEAR AMBAPUR AMGURAJAL MANDAL,72.608464,23.1509255
429,Tumuluru/Guntur,80.7499961,16.2712826
430,Dandamudi /Guntur,80.5567673,16.1126351
431,Guntur District,80.0087746,16.3905692
432,Kotipara Mandal,,
433,Kollipara Mandal,77.3410569,16.850763
434,Guntur District,80.0087746,16.3905692
435,Dandamudi /Guntur,80.5567673,16.1126351
436,Tsunduru/Guntur,80.5833296,16.1588948
437,Guntur District,80.0087746,16.3905692
438,Guntur,80.4365402,16.3066525
439,(Site Survey No.1108/B) Village & Mandal : Kolluru District : Guntur,80.7969102,16.1826065
440,Guntur District 522 113,80.0087746,16.3905692
441,Guntur District,80.0087746,16.3905692
442,Guntur District,80.0087746,16.3905692
443,Thadikonda/Guntur,80.453155,16.4170758
444,Nadendla Mandal,,
445,Kollipara Mandal,77.3410569,16.850763
446,Raompicherla,79.9125739,16.2094457
447,Guntur District,80.0087746,16.3905692
448,MEDIKONDURU VILAGE MANDAL SIRIPURAM ROAD,80.2875264,16.3808302
449,ANKIREDDY PALEM NH-5,83.9275643,18.3159269
450,4-191 NALLAPADU ROAD ANKIREDDY PALEM,80.3919698,16.3002171
451,Kandlakunta/Guntur,79.2937357,16.3864769
452,Tsunduru/Guntur,80.5833296,16.1588948
453,Vatticherukuru Village & Mandal,80.4470827,16.1804779
454,Pallapadu/Guntur,80.3988115,16.1621947
455,Guntur Dt,80.4365402,16.3066525
456,Kollipara Mandal Guntur Dt.,80.749466,16.2872181
457,Guntur,80.4365402,16.3066525
458,Guntur,80.4365402,16.3066525
459,Guntur,80.4365402,16.3066525
460,Thumuluru/Guntur,80.7499961,16.2712826
461,Guntur District,80.0087746,16.3905692
462,Chiluvuru/Guntur,80.5827272,16.3647153
463,Kollipara Village & Mandal,80.749466,16.2872181
464,Guntur District,80.0087746,16.3905692
465,Karlapalem Mandal,80.5490335,15.9457492
466,Repalle Mandal,,
467,Baptla Mandla,80.4681844,15.9040102
468,Kollipara Mandal,77.3410569,16.850763
469,Guntur,80.4365402,16.3066525
470,Guntur District,80.0087746,16.3905692
471,Kakumanu,80.3982025,16.054913
472,Guntur Dt.,80.4365402,16.3066525
473,Vatticherukuru Village & Mandal,80.4470827,16.1804779
474,Ponnur Mandal,,
475,Guntur Dist.,80.0087746,16.3905692
476,Prakasam Dist.,79.560344,15.348463
477,BY-PASS JUNCTION ANKI REDDY PALEM NH-5,80.2091128,15.9060837
478,ANKIREDDY PALEM,80.3923079,16.2876751
479,DUGGIRALA,80.6271912,16.3273225
480,Guntur District,80.0087746,16.3905692
481,Guntur District,80.0087746,16.3905692
482,Kollipara Village And Mandal,80.749466,16.2872181
483,Guntur District,80.0087746,16.3905692
484,ANKI REDDY PALAM ROAD,,
485,Guntur District,80.0087746,16.3905692
486,Kolluru Mandal,74.8104053,13.8631865
487,Guntur District,80.0087746,16.3905692
488,Industrial Park Nadikudi V Dachepalli M Guntur Dt,79.7068596,16.5879495
489,Industrial Park Nadikudi V Dachepalli M Guntur Dt,79.7068596,16.5879495
490,Baptla Mandla,80.4681844,15.9040102
491,NEAR MIRCHI YARD NH5,,
492,Rajupalem (V & M),,
493,ANKIREDDY PALEM,80.3923079,16.2876751
494,Guntur District,80.0087746,16.3905692
495,Guntur Dist.,80.0087746,16.3905692
496,Vemuru Village And Mandal,80.7399885,16.1792758
497,Guntur District,80.0087746,16.3905692
498,Guntur District,80.0087746,16.3905692
499,Guntur District,80.0087746,16.3905692
500,Kolluru Mandal,74.8104053,13.8631865
501,Vemuru Mandal,77.2232709,16.7536811
502,SANTHI NAGAR,77.5992505,12.9577549
503,Budampadu,80.4756248,16.2593442
504,Kollipara Mandal,77.3410569,16.850763
505,West Godavari District,81.3399414,16.9174181
506,NH 5 TATAPUDI VILAGE CHPETA MANDAL,80.1655471,16.0944603
507,NH5 DN O9-91 ANKI REDDY PALEM,80.3923079,16.2876751
508,LINGAYA PALEML ALUPURAM PANCHAITI,80.3940473,16.2772029
509,LALPURAM,80.4494344,16.2868497
510,PLOT NO 2B INDUSTRIAL PARKMIRYALAGUDA ROAD NADIKUD,72.8633635,22.6915853
511,NEAR MIRCHI YARD,,
512,AMARAVATHI ROAD PEDAKURAPADU VILAGE MANDAL,80.2593253,16.4697857
513,LALPURAM,80.4494344,16.2868497
514,BYPASS ROAD,,
515,OPP MIRCHI YARD,,
516,BY PASS ROAD LALPURAM NH-5,83.9275643,18.3159269
517,NARSARAOPETA,80.0496499,16.2359181
518,BY PASS JUNCTION,75.8043655,11.2367864
519,KANAPARRU VILAGE CHPETA ROAD NADENDLA MANDAL,80.110827,16.209323
520,ANKIREDDY PALEM,80.3923079,16.2876751
521,PIDUGURALLA ROAD DACHEPALLY VILAGE DACHEPALLY MAND,79.9336279,16.2955978
522,CHUTTUGUNTA,80.645438,16.5175347
523,TENALI ROAD,80.5718682,16.4306645
524,BEHIND MIRCHI YARD NALLAPADU,80.4107139,16.2864231
525,GUNTUR ROAD REPUDI VILAGE PHIRAMGI PURAM MANDAL,80.2532136,16.2882459
526,MALAKPET,78.4909767,17.3716458
527,NALLAPADU ROAD NEAR NH-5,80.3939109,16.3063385
528,NATSRAOPET,80.0496499,16.2359181
529,RKLUB ROAD CHILUKARI PETA,,
530,PRATTIPADU VILAGE MANDAL,82.1917781,17.2294723
531,NARASARAOPETA,80.0496499,16.2359181
532,LINGALLA PALEM,,
533,DNO-C-158 VILL-KOMMURU MANDAL KAKUMANU,80.3982025,16.054913
534,7-248//1 GANA PAVARAM(V),,
535,ANKIREDDY PALEM NH-5 BY PAAS ROAD,83.9275643,18.3159269
536,DUGGIRALA,80.6271912,16.3273225
537,CHENNAI ROAD,80.2704622,13.0843007
538,ANKI REDDY PALEM ROAD NH-5,83.9275643,18.3159269
539,ANKIREDDY PALEM NH-5,83.9275643,18.3159269
540,,,
541,Tenali,80.6444099,16.237933
542,Nallapadu,80.3867417,16.2990649
543,NALLAPADU ROAD NEAR NH-5,80.3939109,16.3063385
544,NALLAPADU ROAD NEAR NH-5,80.3939109,16.3063385
545,MIRCHI YARD,,
546,NEAR MIRCHI YARD,,
547,Cherukapalli,80.6805413,16.0493704
548,PATTIPADU ROAD ETUKUR,80.424635,16.2632033
549,,,
550,ANKI REDDY PALEM ROAD,,
551,Bhattiprolu Guntur,80.7845272,16.1038105
552,nan,,
553,NEAR BYPAS ROAD MIRCHI YARD ROAD ANKI REDDY PALEM,80.3923079,16.2876751
554,Guntur District,80.0087746,16.3905692
555,Ankireddypalem,80.3923079,16.2876751
556,LINGAYA PALEMA NKI REDDY PALEM POST,,
557,Bhattiprolu Mandal,80.7830847,16.1031097
558,NALLAPADU ROAD,80.3939109,16.3063385
559,PRATHIPADU MANDAL,82.1917781,17.2294723
560,ANKI REDDY PALEM,80.2091128,15.9060837
561,MIRCHI YARD,,
562,NH5ANKIREDDYPALEMGUMTUR,83.9275643,18.3159269
563,Ankireddypalem,80.3923079,16.2876751
564,NALLAPADU ROAD,80.3939109,16.3063385
565,nan,,
566,NANDIGAMA VILAGE SATTENAPALLY MANDAL AMARAVATHI RO,77.7523039,20.9319821
567,RAGHUPATHI RAO TOWER SMEDHAR BAZAR,,
568,ANKIREDDY PALEMMADRAS TRUNK ROADGUNTUR,,
569,NALLAPADU ROAD NEAR NH-5,80.3939109,16.3063385
570,ANKI REDDY PALEM BY-PASS ROAD CHEK POST,80.2091128,15.9060837
571,NH-5BY PASS ROAD,-71.5723953,43.1938516
572,LALPURAM,80.4494344,16.2868497
573,Vinukonda Market Yard,79.7405355,16.0498456
574,VINUKONDA TOWN MANDAL,79.7405355,16.0498456
575,175/2 G T ROAD MIRCHI YARD,,
576,NEAR NEW MIRCHI YARD G.T. ROAD,,
577,,,
578,GT ROAD,74.2390965,31.8847743
579,NEAR MIRCHI YARD,,
580,NEAR MIRCHI YARD,,
581,GUNTUR RURAL MANDA,80.0087746,16.3905692
582,nan,,
583,MEDIKONDURU VILAGE PIDUGURALLA ROAD,80.2989584,16.3466357
584,Jammalamadugu Mandal,78.3824215,14.8448555
585,NEAR MIRCHI YARD,,
586,Chiluvuru/Guntur,80.5827272,16.3647153
587,Velagaleru,80.6146524,16.6504004
588,Agripali & Bapulapadu,80.9617035,16.6337723
589,SURAMPALLY VILAGE,80.7228185,16.5932293
590,BLUEPARKSEAFOODSGMAILCOM,,
591,Nidamanuru Mandal,79.3668006,16.8220976
592,Nagayalanka,80.9161478,15.9479263
593,Kankipadu Mandal,,
594,Kankipadu Mandal,,
